City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ushuaia,-54.8,-68.3,3.79,87,40,8.23,AR,2023-04-16 20:59:11
1,bathsheba,13.2167,-59.5167,29.34,58,20,7.72,BB,2023-04-16 20:53:51
2,nikolskoye,59.7035,30.7861,7.11,60,100,1.32,RU,2023-04-16 21:03:06
3,butaritari,3.0707,172.7902,27.87,77,100,5.15,KI,2023-04-16 21:03:07
4,atuona,-9.8,-139.0333,27.8,75,4,7.78,PF,2023-04-16 21:00:19
5,busselton,-33.65,115.3333,17.72,82,76,4.92,AU,2023-04-16 21:03:08
6,mataura,-46.1927,168.8643,11.38,68,14,1.26,NZ,2023-04-16 21:03:08
7,cabo san lucas,22.8909,-109.9124,28.12,56,0,4.22,MX,2023-04-16 20:53:20
8,ancud,-41.8697,-73.8203,10.52,71,96,1.47,CL,2023-04-16 21:03:08
9,sitka,57.0531,-135.33,7.94,57,75,3.6,US,2023-04-16 20:53:53
10,carnarvon,-24.8667,113.6333,20.69,34,22,4.5,AU,2023-04-16 21:03:09
11,rikitea,-23.1203,-134.9692,26.49,82,6,6.87,PF,2023-04-16 21:00:09
12,lodwar,3.1191,35.5973,27.52,53,35,6.24,KE,2023-04-16 21:02:20
13,new norfolk,-42.7826,147.0587,9.95,77,56,1.27,AU,2023-04-16 20:53:40
14,bandarbeyla,9.4942,50.8122,27.44,71,19,3.14,SO,2023-04-16 21:03:10
15,severo-kurilsk,50.6789,156.125,0.14,97,100,18.11,RU,2023-04-16 21:03:11
16,hermanus,-34.4187,19.2345,13.22,72,0,3.21,ZA,2023-04-16 21:03:11
17,olinda,-8.0089,-34.8553,26.85,78,75,3.09,BR,2023-04-16 21:03:13
18,seydi,39.4816,62.9137,10.46,27,100,6.88,TM,2023-04-16 21:03:13
19,ponta do sol,32.6667,-17.1,19.84,80,35,1.86,PT,2023-04-16 21:03:13
20,aksarka,66.5606,67.7975,-27.82,100,15,1.86,RU,2023-04-16 21:03:14
21,geraldton,-28.7667,114.6,12.23,94,100,2.57,AU,2023-04-16 21:02:35
22,kaitangata,-46.2817,169.8464,11.09,65,1,1.96,NZ,2023-04-16 20:54:06
23,polyarnyy,69.1989,33.4478,-5.09,91,17,3.63,RU,2023-04-16 21:03:16
24,vila velha,-20.3297,-40.2925,25.97,88,20,5.66,BR,2023-04-16 21:00:59
25,port elizabeth,-33.918,25.5701,14.62,92,0,0.45,ZA,2023-04-16 21:00:29
26,hobart,-42.8794,147.3294,10.14,80,75,3.6,AU,2023-04-16 21:00:47
27,airai,-8.9266,125.4092,15.63,96,100,0.7,TL,2023-04-16 20:53:48
28,avarua,-21.2078,-159.775,25.03,53,40,2.57,CK,2023-04-16 21:03:17
29,yellowknife,62.456,-114.3525,5.31,48,40,7.6,CA,2023-04-16 21:02:09
30,georgetown,5.4112,100.3354,27.97,88,20,1.03,MY,2023-04-16 21:03:18
31,norman wells,65.282,-126.8329,-6.98,79,100,3.09,CA,2023-04-16 20:53:49
32,hamilton,39.1834,-84.5333,12.43,70,100,13.38,US,2023-04-16 20:54:37
33,kahului,20.8947,-156.47,28.01,62,20,1.54,US,2023-04-16 20:53:14
34,puerto ayora,-0.7393,-90.3518,27.53,91,100,3.13,EC,2023-04-16 21:03:19
35,sao jose da coroa grande,-8.8978,-35.1478,26.62,81,47,3.57,BR,2023-04-16 21:03:19
36,sobolevo,54.4299,31.8996,5.5,85,100,2.43,RU,2023-04-16 21:03:19
37,kulhudhuffushi,6.6221,73.07,27.83,78,1,1.69,MV,2023-04-16 21:03:20
38,phalaborwa,-23.943,31.1411,18.6,61,15,0.79,ZA,2023-04-16 21:03:20
39,tarkwa,5.3064,-1.9847,25.68,88,100,0.22,GH,2023-04-16 21:03:21
40,leningradskiy,69.3833,178.4167,-15.68,91,36,2.03,RU,2023-04-16 20:54:43
41,pisco,-13.7,-76.2167,27.03,61,86,11.32,PE,2023-04-16 21:03:23
42,flinders,-34.5833,150.8552,13.36,81,9,0.89,AU,2023-04-16 20:54:04
43,kirakira,-10.4544,161.9205,26.42,80,92,1.98,SB,2023-04-16 20:53:59
44,bredasdorp,-34.5322,20.0403,13.99,86,0,1.28,ZA,2023-04-16 21:03:24
45,zhangye,38.9342,100.4517,13.13,44,62,4.51,CN,2023-04-16 20:54:31
46,parvatsar,26.8833,74.7667,27.13,27,0,4.79,IN,2023-04-16 21:03:24
47,dunedin,-45.8742,170.5036,14.48,52,3,1.27,NZ,2023-04-16 21:02:30
48,birao,10.2849,22.7882,30.01,17,97,1.91,CF,2023-04-16 21:02:19
49,ati,13.2154,18.3353,32.78,9,91,3.85,TD,2023-04-16 21:03:26
50,tasiilaq,65.6145,-37.6368,1.09,76,100,3.38,GL,2023-04-16 21:03:26
51,ozinki,51.1786,49.6769,3.89,63,0,3.74,RU,2023-04-16 21:03:27
52,lata,40.1629,-8.3327,14.45,67,7,1.64,PT,2023-04-16 20:53:58
53,aklavik,68.2191,-135.0107,-11.77,91,100,6.97,CA,2023-04-16 20:54:51
54,peterhead,57.5058,-1.7981,9.69,92,100,6.88,GB,2023-04-16 21:03:27
55,sorland,67.667,12.6934,5.92,84,98,4.28,NO,2023-04-16 20:53:47
56,mancio lima,-7.6142,-72.8958,33.04,66,75,3.09,BR,2023-04-16 21:03:28
57,koson,39.0375,65.585,17.18,46,100,4.11,UZ,2023-04-16 21:03:29
58,zapolyarnyy,69.4154,30.8136,0.6,94,37,3.88,RU,2023-04-16 21:03:30
59,saint george,37.1041,-113.5841,26.35,13,0,2.06,US,2023-04-16 20:54:53
60,ocean city,39.2776,-74.5746,23.99,83,100,0.89,US,2023-04-16 21:00:51
61,khatanga,71.9667,102.5,-11.63,95,100,5.09,RU,2023-04-16 21:03:31
62,tiksi,71.6872,128.8694,-16.87,100,100,2.26,RU,2023-04-16 20:53:51
63,asau,46.4333,26.4,9.6,98,100,2.14,RO,2023-04-16 21:03:32
64,taoudenni,22.6783,-3.9836,30.97,7,0,1.7,ML,2023-04-16 20:53:50
65,albany,42.6001,-73.9662,24.38,61,83,1.34,US,2023-04-16 20:58:44
66,ribeira grande,38.5167,-28.7,16.22,67,20,6.17,PT,2023-04-16 21:03:33
67,fare,-16.7,-151.0167,27.57,71,4,1.72,PF,2023-04-16 21:03:33
68,lavrentiya,65.5833,-171.0,-13.82,86,22,0.41,RU,2023-04-16 20:54:07
69,thompson,55.7435,-97.8558,4.09,35,40,2.06,CA,2023-04-16 21:03:34
70,nanortalik,60.1432,-45.2371,1.86,81,93,1.11,GL,2023-04-16 20:54:34
71,qaanaaq,77.484,-69.3632,-15.52,88,5,1.18,GL,2023-04-16 21:03:35
72,ambon,-3.6954,128.1814,24.08,88,20,4.12,ID,2023-04-16 21:03:35
73,mehamn,71.0357,27.8492,1.97,69,0,1.54,NO,2023-04-16 21:03:35
74,vinh,18.6667,105.6667,23.16,92,95,0.34,VN,2023-04-16 21:03:36
75,saskylakh,71.9167,114.0833,-12.07,96,100,4.67,RU,2023-04-16 21:03:36
76,port macquarie,-31.4333,152.9167,17.72,66,28,4.99,AU,2023-04-16 20:54:17
77,vitim,59.4511,112.5578,-21.22,99,25,1.66,RU,2023-04-16 21:03:36
